item_id,name,brand,size,packaging_type
146,Lemongrass,Store Brand,2ct bunch,bunch
196,Limes,Store Brand,NaN,
199,Loose Organic Beets,Store Brand,NaN,
200,Miso Master Organic Traditional Red Miso,Miso Master Organic,NaN,
123,Morton Iodized Salt,Morton,NaN,
164,"Mulino Bianco Galletti, Shortbread with Sugar Crystals Cookies",Mulino Bianco,NaN,
114,Mushroom King Organic Heirloom Mushroom Medley,Mushroom King,NaN,
157,Native Forest Unsweetened Organic Coconut Cream,Native Forest,NaN,
181,Naturipe Berry Trio,Naturipe,NaN,
108,"New City Microcreamery Ice Cream, Baklava",New City Microcreamery,NaN,
98,"New City Microcreamery Ice Cream, Tres Leches",New City Microcreamery,NaN,
140,Nutiva Organic Coconut Oil,Nutiva,NaN,
187,Ocean Mist Farms Spinach,Ocean Mist Farms,NaN,
154,"Okra, Packaged",Store Brand,"12oz, plastic clamshell containers",plastic clamshell
155,Organic Basil,Store Brand,"1.25oz, plastic clamshell containers",plastic clamshell
115,"Organic Beets, Bunch",Store Brand,Bunch bound with plastic twist tie,"bunch, plastic twist tie"
52,Organic Blueberries,Store Brand,"18oz, plastic clamshell containers",plastic clamshell
25,Organic Cilantro,Store Brand,Bunch bound with plastic twist tie,"bunch, plastic twist tie"
130,Organic Delicata Squash,Store Brand,0.52 lb,
116,Organic French Beans,Store Brand,NaN,
188,Organic French Breakfast Radish,Store Brand,Bunch bound with plastic twist tie,"bunch, plastic twist tie"
121,Organic Fuji Apples,Store Brand,Plastic Bag,plastic bag
34,Organic Garlic,Store Brand,NaN,
35,Organic Ginger Root,Store Brand,"approx. 6oz plastic mesh bag (polyethylene/polypropylene netting, plastic clip)",
174,Organic Golden Pineapple,Store Brand,NaN,
117,Organic Green Cucumber,Store Brand,NaN,
77,Organic Green Zucchini,Store Brand,1.54 lb,
122,Organic Hass Avocados,Store Brand,"approx.2lb, plastic mesh bag (polyethylene/polypropylene netting, plastic clip)",
156,Organic Japanese Sweet Potatoes,Store Brand,NaN,
205,"Organic Leeks, Bunch",Store Brand,Bunch bound with plastic twist tie,"bunch, plastic twist tie"
149,Organic Limes,Store Brand,"7-8ct, approx. 1lb, plastic mesh bag (polyethylene/polypropylene netting, plastic clip)",
131,Organic Mint,Store Brand,approx. 0.5oz plastic clamshell containers,plastic clamshell
175,Organic Navel Orange,Store Brand,NaN,
176,Organic Pink Grapefruit,Store Brand,NaN,
182,Organic Red Anjou Pear,Store Brand,NaN,
135,Organic Red Onions,Store Brand,"approx.2lb, plastic mesh bag (polyethylene/polypropylene netting, plastic clip)",
63,Organic Roma Tomatoes,Store Brand,NaN,
138,Organic Seedless Watermelon,Store Brand,NaN,
170,Organic Tommy Atkins Mango,Store Brand,NaN,
169,"Organic Valley Family First Whole Milk with DHA Omega-3, Carton",Organic Valley,"1/2 gallon, Carton",carton
189,Plum Tomatoes,,NaN,
167,"Rustic Bakery Shortbread Cookies, Vanilla",Rustic Bakery,"4oz, paperboard box with protective polymer varnish finish + inner plastic wrap",paperboard box
201,Seapoint Farms Edamame Organic Shelled Soybeans,Seapoint Farms,"12oz, plastic freezer bag (multi-layer plastic)",
177,"Sensodyne Pronamel Gentle Whitening Toothpaste, Alpine Breeze",Sensodyne,"4oz, paperboard box with glossy polymer coating + plastic tube",paperboard box
178,Sensodyne Repair & Protect Whitening Toothpaste,Sensodyne,"4oz, paperboard box with glossy polymer coating + plastic tube",paperboard box
46,Shallots,Store Brand,NaN,
163,Simply Organic Crushed Red Pepper,Simply Organic,NaN,
159,"Spectrum Organic Virgin Coconut Oil, Unrefined (for Medium Heat)",Spectrum,NaN,
106,"Thai Peppers, Packaged",Store Brand,approx. 2oz Packaged,
132,"Van Leeuwen Ice Cream, Sicilian Pistachio",Van Leeuwen,"14fl oz, paperboard pint container + plastic lid + inner foil seal",
118,Vital Farms Pasture-Raised Organic Large Eggs,Vital Farms,1/2 dozen molded paper pulp carton (paperboard),carton
147,Wells Homestead Acres Local Squash Blossoms,Wells Homestead Acres,"3ct, plastic clamshell containers",plastic clamshell
171,"White Moustache Handmade Yogurt, Greek",White Moustache,8oz glass jar + plastic lid,glass jar
172,"White Moustache Handmade Yogurt, Persian",White Moustache,8oz glass jar + plastic lid,glass jar
183,Yellow Plantains,,NaN,
82,Beyond Good 85% Sea Salt Dark Chocolate Bar,Beyond Good,2.1oz small paperboard box (foil‑lined bar inside),paperboard box
96,Aria Extra Virgin Olive Oil,Aria,NaN,
31,Satur Farms Baby Spinach,Satur Farms,"5oz, plastic clamshell containers",plastic clamshell
94,Saunderskill Farms Bi-color Sweet Corn,Saunderskill Farms,3 pieces,
92,Grown in California Cotton Candy Grapes,Grown in California,1 Lbs,
23,Ronnybrook Farm Dairy Creamline Whole Milk,Ronnybrook Farm Dairy,32 oz Glass bottle with plastic cap,glass bottle
93,Black Seed Bagels Everything Bagels,Black Seed Bagels,NaN,
62,Sun Sprout Farm Organic Fairytale Eggplant,Sun Sprout Farm,NaN,
89,Headwater Food Hub Frozen Peas,Headwater Food Hub,NaN,
57,Dagele Brothers Produce Green Cabbage,Dagele Brothers Produce,NaN,
86,Multigrain Sourdough English Muffins,Dam Good English Muffins,NaN,
54,Mama O's OG Kimchi,Mama O's,NaN,
76,Organic & Fair Trade Bananas (Ripe),Organic from Mexico,NaN,
26,Organic & Fair Trade Hass Avocados,Organic from Mexico,NaN,
60,Organic Acorn Squash,,NaN,
71,Organic Apple Cider Vinegar,,NaN,
68,Organic Baby Spinach,,NaN,
78,Organic Broccoli,,NaN,
65,Organic Broccoli Rabe,,NaN,
32,Organic Bunched Orange Carrots,,Bunch,bunch
79,Organic Bunched Rainbow Carrots,,Bunch,bunch
42,Organic Bunched Red Beets,,Bunch,bunch
81,Organic Cantaloupe,,NaN,
29,Organic Chioggia Beets,,NaN,
70,Organic Coconut Milk,,NaN,
39,Organic Extra Virgin Olive Oil,,NaN,
90,Organic Fenway Red Potatoes,,NaN,
85,Organic French Breakfast Radishes,,NaN,
